      name:  Changes to evnttype from version 1.2 to version 1.3
  log type:  text
 opened on:  22 Apr 2020, 14:24:38

       
       +------------------------------------------------------------------------+
       |                               country   year    old_etype    new_etype |
13358. |                             Nicaragua   2004    non-event    amendment |
       |------------------------------------------------------------------------|
13364. |                             Nicaragua   2010    non-event    amendment |
13397. |                                 Niger   1983    amendment   samendment |
13425. |                                 Niger   2011    non-event    amendment |
13441. |                               Nigeria   1967    amendment   samendment |
13459. |                               Nigeria   1985    amendment   samendment |
       |------------------------------------------------------------------------|
13484. |                               Nigeria   2010    amendment    non-event |
13485. |                               Nigeria   2011    non-event    amendment |
13564. |                                Norway   1975    non-event    amendment |
13929. |                              Pakistan   1979    amendment   samendment |
13930. |                              Pakistan   1980    amendment   samendment |
       |------------------------------------------------------------------------|
13931. |                              Pakistan   1981    amendment   samendment |
13932. |                              Pakistan   1982    amendment   samendment |
13933. |                              Pakistan   1983    amendment   samendment |
13934. |                              Pakistan   1984    amendment   samendment |
14200. |                      Papua New Guinea   1980    non-event    amendment |
       |------------------------------------------------------------------------|
14202. |                      Papua New Guinea   1982    amendment    non-event |
14203. |                      Papua New Guinea   1983    non-event    amendment |
14217. |                      Papua New Guinea   1997    non-event    amendment |
14218. |                      Papua New Guinea   1998    non-event    amendment |
14221. |                      Papua New Guinea   2001    non-event    amendment |
       |------------------------------------------------------------------------|
14222. |                      Papua New Guinea   2002    non-event    amendment |
14223. |                      Papua New Guinea   2003    non-event    amendment |
14224. |                      Papua New Guinea   2004    non-event    amendment |
14226. |                      Papua New Guinea   2006    amendment    non-event |
14227. |                      Papua New Guinea   2007    non-event    amendment |
       |------------------------------------------------------------------------|
14230. |                      Papua New Guinea   2010    non-event    amendment |
14231. |                      Papua New Guinea   2011    non-event    amendment |
14232. |                      Papua New Guinea   2012    non-event    amendment |
14233. |                      Papua New Guinea   2013    non-event    amendment |
14718. |                           Philippines   1946    amendment    non-event |
       |------------------------------------------------------------------------|
14855. |                                Poland   1976          new    amendment |
14885. |                                Poland   2006    non-event    amendment |
14888. |                                Poland   2009    non-event    amendment |
14944. |                              Portugal   1834    non-event   reinstated |
14946. |                              Portugal   1836    non-event   reinstated |
       |------------------------------------------------------------------------|
14948. |                              Portugal   1838   reinstated          new |
15085. |                              Portugal   1975    amendment   samendment |
15481. |                 Russia (Soviet Union)   1949    non-event    amendment |
15679. |                                 Samoa   2013    non-event    amendment |
15792. |                          Saudi Arabia   1993    non-event    amendment |
       |------------------------------------------------------------------------|
15802. |                          Saudi Arabia   2003    non-event    amendment |
15806. |                          Saudi Arabia   2007    non-event    amendment |
15812. |                          Saudi Arabia   2013    non-event    amendment |
15938. |                               Senegal   2012    non-event    amendment |
16006. |                          Sierra Leone   1971    amendment          new |
       |------------------------------------------------------------------------|
16048. |                          Sierra Leone   2013    non-event    amendment |
16122. |                              Slovakia   2005    non-event    amendment |
16123. |                              Slovakia   2006    non-event    amendment |
16127. |                              Slovakia   2010    non-event    amendment |
16128. |                              Slovakia   2011    non-event    amendment |
       |------------------------------------------------------------------------|
16129. |                              Slovakia   2012    non-event    amendment |
16158. |                              Slovenia   2013    non-event    amendment |
16210. |                               Somalia   1963    non-event    amendment |
16290. |                          South Africa   1933    non-event    amendment |
16291. |                          South Africa   1934    non-event    amendment |
       |------------------------------------------------------------------------|
16303. |                          South Africa   1946    non-event    amendment |
16391. |                           South Sudan   2013    non-event    amendment |
16635. |                    Sri Lanka (Ceylon)   1954    non-event    amendment |
16651. |                    Sri Lanka (Ceylon)   1970    non-event    amendment |
16652. |                    Sri Lanka (Ceylon)   1971    non-event    amendment |
       |------------------------------------------------------------------------|
16808. |                                 Sudan   1962    amendment   samendment |
16837. |                                 Sudan   1991    amendment   samendment |
16839. |                                 Sudan   1993    amendment   samendment |
16841. |                                 Sudan   1995    amendment   samendment |
16843. |                                 Sudan   1997    amendment   samendment |
       |------------------------------------------------------------------------|
17410. |                           Switzerland   2004    non-event    amendment |
17411. |                           Switzerland   2005    non-event    amendment |
17412. |                           Switzerland   2006    non-event    amendment |
17413. |                           Switzerland   2007    non-event    amendment |
17414. |                           Switzerland   2008    non-event    amendment |
       |------------------------------------------------------------------------|
17415. |                           Switzerland   2009    non-event    amendment |
17416. |                           Switzerland   2010    non-event    amendment |
17417. |                           Switzerland   2011    non-event    amendment |
17418. |                           Switzerland   2012    non-event    amendment |
17419. |                           Switzerland   2013    non-event    amendment |
       |------------------------------------------------------------------------|
17517. |                                Taiwan   1966    non-event    amendment |
17550. |                                Taiwan   1999    non-event    amendment |
17603. |                   Tanzania/Tanganyika   1964    non-event    amendment |
17612. |                   Tanzania/Tanganyika   1973    non-event    amendment |
17618. |                   Tanzania/Tanganyika   1979    non-event    amendment |
       |------------------------------------------------------------------------|
17619. |                   Tanzania/Tanganyika   1980    non-event    amendment |
17621. |                   Tanzania/Tanganyika   1982    non-event    amendment |
17624. |                   Tanzania/Tanganyika   1985    amendment    non-event |
17629. |                   Tanzania/Tanganyika   1990    non-event    amendment |
17630. |                   Tanzania/Tanganyika   1991    amendment    non-event |
       |------------------------------------------------------------------------|
17632. |                   Tanzania/Tanganyika   1993    non-event    amendment |
17639. |                   Tanzania/Tanganyika   2000    non-event    amendment |
17644. |                   Tanzania/Tanganyika   2005    non-event    amendment |
18257. |                               Tunisia   1965    non-event    amendment |
18259. |                               Tunisia   1967    non-event    amendment |
       |------------------------------------------------------------------------|
18273. |                               Tunisia   1981    non-event    amendment |
